index,SERVICE PROVIDER BUSINESS INFORMATION,0,Default Category Weight (Equal Weight),,User Defined Weights  (Sum = 1.00),,Initial Applied Weights,0
,,,,,,,,
A,SERVICE PROVIDER IDENTIFICATION,8,1,,0,,1,
,,0,,,,,,
1,Company/Business name,1,0.13,,,,0.13,
2,Company Primary Service Provider Location,1,0.13,,,,0.13,
3,Company Primary Service Provider Business Contact,1,0.13,,,,0.13,
4,Company Primary Service Provider Security Contact,1,0.13,,,,0.13,
5,Company Headquarters,1,0.13,,,,0.13,
6,Company Regional Locations Associated with this Service,1,0.13,,,,0.13,
7,Company Major Production Sites Associated with this Service,1,0.13,,,,0.13,
8,Company /Business /Primary Service Provider Notes,1,0.13,,,,0.13,
,,0,,,,,,
B,BUSINESS OWNER PROFILE ,13,1,,0,,1,
,,0,,,,,,
9,Publicly or privately held company,1,0.08,,,,0.08,
10,"If public, what is the name of the Exchange",1,0.08,,,,0.08,
11,"If public, what is the trading symbol",1,0.08,,,,0.08,
12,Type of legal entity and state(s) / nations(s) of incorporation / place of legal organization,1,0.08,,,,0.08,
13,Place of Incorporation / Legal Organization,1,0.08,,,,0.08,
14,Date of Company Inception / Incorporation,1,0.08,,,,0.08,
15,Name of the holding or parent company(s); include ultimate holding or parent company regardless of levels in between your company and parent company ,1,0.08,,,,0.08,
16,Name and relationship with subsidiary and owned businesses,1,0.08,,,,0.08,
17,Alternative Doing Business As (DBA) Names,1,0.08,,,,0.08,
18,List the names of the company's executive leadership:,1,0.08,,,,0.08,
19,"Identification of Non-U.S. Executives, and Board of Directors with Decision Making Authority Associaed with this Service.",1,0.08,,,,0.08,
20,Net Worth of Company,1,0.08,,,,0.08,
21,Volume and Value of Business Per Year,1,0.08,,,,0.08,
,,0,,,,,,
C,SERVICE PROVIDER PROFILE,9,1,,0,,1,
,,0,,,,,,
22,Name and description of services and products to be provided,1,0.11,,,,0.11,
23,Service and Product delivery model,1,0.11,,,,0.11,
24,Providers Participating in Producing / Providing Products / Services,1,0.11,,,,0.11,
