Row #,Category / Question ID,Unique  Ref ID,Category / Question,,Default,ID,Corporately Assigned Weights,,ID,Corporately Assigned Weights,,ID,Corporately Assigned Weights,,ID,,Active Weights,Active Weights,Active Weights
6,1,RRR,"1) Mission and Security Requirements, Roles, Responsibilities and Policies [System Design]",,1,,5,0,,5,0,,5,0,,,1,1,1
7,,,,,,,,,,,,,,,,,,,
8,1,RRR - 1.1,1) Are Critical Mission/Business Functions Defined and Documented and are Security Requirements and Business Practices Derived and Documented from those Functions?,,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
9,2,RRR - 1.2,"2) Are System Security, Personnel Security, Physical Security and Supply Chain Security Roles and Responsibilities Defined, Documented, Assigned, and Implemented?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
10,3,RRR - 1.3,"3) Are documented Security Requirements for Data Confidentiality, Integrity, and Availability, System Integrity and Availability, and Personnel/Process Integrity and Availability incorporated in both System Design and Business Practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
11,4,RRR - 1.4,4) Does corporate management maintain oversight to ensure Mission/Business security requirements are in place as well as authorizing their implementation as well as holding responsible entities accountable? ,,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
12,5,RRR - 1.5,"5) Are Mission/Business security requirements incorporated into and enforced through service level agreements, contracts, policies, regulatory practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
13,,,,,,,,,,,,,,,,,,,
14,2,SDI,"2) System Performance, Resiliency, and Security Architecture and Design Practices [System Design]",,1,,5,0,,5,0,,5,0,,,1,1,1
15,,,,,,,,,,,,,,,,,,,
16,1,SDI - 2.1,"1) Are system and process performance, resiliency and security requirements derived and documented from Critical Mission/Business Functions and effectively incorporated into system designs and management practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
17,2,SDI - 2.2,"2) Are functions for monitoring, reporting, and responding to anomalous performance, resiliency, and security behavior implemented in system design and procedures to allow for timely response?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
18,3,SDI - 2.3,"3) Are functions for monitoring, reporting, and responding to anomalous performance, resiliency, and security behaviors tested and exercised prior to implementation and periodically during operations?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
19,4,SDI - 2.4,"4) Are performance, resiliency, and security actively monitored, measured, reported and effectively corrected to assure decision makers that these critical functions a meeting organizational goals and contractual responsibilities?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
20,5,SDI - 2.5,"5) Are System Performance, Resiliency, and Security Architecture and Design Practices incorporated into and enforced through service level agreements, contracts, policies, and regulatory practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
21,,,,,,,,,,,,,,,,,,,
22,3,DFG,"3) Communication Path, Data Flow, and Data Governance Policies and Practices [Data Governance]",,1,,5,0,,5,0,,5,0,,,1,1,1
23,,,,,,,,,,,,,,,,,,,
24,1,DFG - 3.1,"1) Are Mission/Business critical communication path, data flows, and data governance policies and practices documented and maintained current?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
25,2,DFG - 3.2,"2) Are Mission/Business critical communication path, data flows, and data governance policies and practices incorporated into the operations and handling of Mission/Business critical information?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
26,3,DFG - 3.3,"3) Is Mission/Business critical information labeled, tagged, and securely associated with appropriate metadata to allow for and promote effective enforcement of Data Governance Policies and Practices",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
27,4,DFG - 3.4,"4) Are Data Governance incidents and violations actively monitored, reported, and effectively corrected?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
28,5,DFG - 3.5,"5) Are Communication Path, Data Flow, and Data Governance Policies and Practices incorporated into and enforced through service level agreements, contracts, policies, regulatory practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
29,,,,,,,,,,,,,,,,,,,
30,4,AIA,4) Asset Inventory and Audit Management Practices  [Asset and Audit],,1,,5,0,,5,0,,5,0,,,1,1,1
31,,,,,,,,,,,,,,,,,,,
32,1,AIA - 4.1,"1) Are Mission/Business Critical operational assets inventoried and periodically audited to assure their initial and continued pedigree, accountability and integrity?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
33,2,AIA - 4.2,"2) Are Mission/Business Critical backup, reserve, and replacement assets inventoried, and periodically audited to assure their initial and continued pedigree, accountability and integrity?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
34,3,AIA - 4.3,"3) Are Asset Inventory and Audit data protected from loss, corruption, or manipulation and are asset inventory and audit data available for use and incorporated into defining the integrity of the Mission/Business critical functions and processes?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
35,4,AIA - 4.4,4) Are Asset Inventory and Audit data reviewed and assessed to support an effective known configuration of the system and processes and effective and timely corrective actions?,,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
36,5,AIA - 4.5,"5) Are Asset Inventory and Audit Management Practices incorporated into and enforced through service level agreements, contracts, policies, regulatory practices?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
37,,,,,,,,,,,,,,,,,,,
38,5,AAC,5) Authentication and Access Control Practices [Info. Sys.Security],,1,,5,0,,5,0,,5,0,,,1,1,1
39,,,,,,,,,,,,,,,,,,,
40,1,AAC - 5.1,"1) Are identities of authorized individuals documented and vetted and credentials validated to support effective physical and electronic access and privilege management to Mission/Business critical information, services, and assets?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
41,2,AAC - 5.2,"2) Are credentials protected from loss, misuse, and manipulation?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
42,3,AAC - 5.3,"3) Are the processes for assessing and allowing access and privilege based on credentials documented, incorporated, and trained? Do these processes assure that only authorized individuals and entities have access and privilege to Mission/Business Critical Information, Services, and Assets?",,0.2,,1,,,1,,,1,,,,0.2,0.2,0.2
